id_fundo_imobiliario,cnpj,fundo,ticker,visivel,data_informacao,total_cotistas,valor_patrimonio_liquido,dividend_yield_mes,rent_efetiva_mensal,ano_mes_x,data_ultimo_preco,preco_fechamento,volume_negociado,ano_mes_y
362,41745701000137,KINEA CRÉDITO AGRO FIAGRO-IMOBILIÁRIO,KNCA11,True,2023-03-01,28926.0,1439187178.92,0.013764,0.0173,2023-03-01,2023-04-27,105.09,23019.0,2023-04-01
112,16915968000188,MERITO DESENVOLVIMENTO IMOBILIARIO I FII,MFII11,True,2023-03-01,28286.0,429466203.87,0.01074,0.01058,2023-03-01,2023-04-27,89.95,3557.0,2023-04-01
124,26091656000150,OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,OUJP11,True,2023-03-01,28060.0,324678760.0,0.012521,0.012521,2023-03-01,2023-04-27,92.39,8404.0,2023-04-01
182,23740527000158,FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS,GTWR11,True,2023-03-31,27116.0,1138967684.57,0.008336,0.009822,2023-03-01,2023-04-27,77.61,4859.0,2023-04-01
85,16802320000103,XP CORPORATE MACAÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO,XPCM11,True,2023-03-01,26823.0,104359429.79,0.002297,-0.004834,2023-03-01,2023-04-27,13.41,7906.0,2023-04-01
384,42405905000191,FG AGRO FI NAS CADEIAS PROD AGROIND FIAGRO IMOBILIARIO,FGAA11,True,2023-03-01,25482.0,327298660.52,0.014571,0.013626,2023-03-01,2023-04-27,9.58,87404.0,2023-04-01
22,08706065000169,HOTEL MAXINVEST FII,HTMX11,True,2023-03-31,25350.0,209131335.32,0.004553,0.005464,2023-03-01,2023-04-27,104.5,2388.0,2023-04-01
281,32903621000171,HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,HSLG11,True,2023-03-01,25101.0,1322434765.5,0.006873,0.004035,2023-03-01,2023-04-27,82.0,9226.0,2023-04-01
259,35754164000199,PÁTRIA LOGÍSTICA FII,PATL11,True,2023-03-31,24022.0,489090068.08,0.00612786,0.00684743,2023-03-01,2023-04-27,65.0,8531.0,2023-04-01
242,32754734000152,QUASAR AGRO FII,QAGR11,True,2023-03-31,23900.0,281449547.2,0.0081,0.008227,2023-03-01,2023-04-27,42.81,2841.0,2023-04-01
